year,n_trades,hit_rate,mean_bps,std_bps,worst_bps,best_bps,return_pct
2017,1,1.0,106.73901167121903,0.0,106.73901167121903,106.73901167121903,1.067
2018,10,0.9,90.91927303408131,60.83186682104444,-7.5259409969470275,162.52524746272414,9.455
2019,5,0.8,31.466363028436426,70.44730027505287,-61.1758730954921,113.95577667219482,1.573
2020,27,0.7037037037037037,48.42610223257896,114.23653126110602,-134.66407263294465,460.353354335588,13.743
2021,9,0.5555555555555556,-7.403228055594598,114.18396322029746,-155.6350364963517,185.73223983154242,-0.716
2022,35,0.6571428571428571,8.875650218504568,108.27950232724169,-284.74046935340016,236.39492636783822,2.948
2023,11,0.5454545454545454,6.26137366418321,57.069361403205384,-87.52038009502371,84.673575129534,0.675
2024,10,0.5,-25.61425428467556,148.66955827143406,-413.4626865671638,86.95120061967421,-2.631
2025,13,0.7692307692307693,36.0857468823563,55.73231444936432,-37.84713375796066,171.3961556901904,4.775
2026,4,0.25,-29.08823977449581,36.95905192678562,-75.10083603480554,9.974440894568344,-1.161
