us_code,cn_code,cn_kind,y_col,sample_start,bucket,count,cn_mean,cn_median,cn_pct_down
SPX,IF,cn_future,cn_ret_oc,data_start,us_in_-2_-1pct,167,0.00023817017384027912,0.00041258380608555356,0.46706586826347307
SPX,IF,cn_future,cn_ret_oc,data_start,us_in_-1_0pct,758,-3.3491083486521104e-05,-0.0008059271374885602,0.5395778364116095
SPX,IF,cn_future,cn_ret_oc,data_start,us_in_0_1pct,947,0.0003530121647508026,0.00017507002801120386,0.48680042238648363
SPX,IF,cn_future,cn_ret_oc,data_start,us_in_1_2pct,248,-0.0011812143870520207,-0.00045650537290470306,0.5161290322580645
SPX,IF,cn_future,cn_ret_oc,data_start,us_ge_2pct,61,-0.002790984205219816,-0.0021984190093082834,0.7213114754098361
SPX,IC,cn_future,cn_ret_cc,data_start,us_le_-2pct,83,-0.006118912925508696,-0.00147787948131195,0.5421686746987951
SPX,IC,cn_future,cn_ret_cc,data_start,us_in_-2_-1pct,167,-0.0033487459810584252,-0.001846523811568579,0.5508982035928144
SPX,IC,cn_future,cn_ret_cc,data_start,us_in_-1_0pct,758,-0.0003896375482764231,-0.0005641462368887185,0.5224274406332454
SPX,IC,cn_future,cn_ret_cc,data_start,us_in_0_1pct,946,0.0014522813752881028,0.001423496480633113,0.45454545454545453
SPX,IC,cn_future,cn_ret_cc,data_start,us_in_1_2pct,248,0.0011610905945621548,0.0009988757262896497,0.4637096774193548
SPX,IC,cn_future,cn_ret_cc,data_start,us_ge_2pct,61,0.004228093067342149,0.004250624614685616,0.39344262295081966
SPX,IC,cn_future,cn_ret_oc,data_start,us_le_-2pct,83,0.0019782960379526823,0.002547565301515675,0.4457831325301205
SPX,IC,cn_future,cn_ret_oc,data_start,us_in_-2_-1pct,167,0.0007579969714327034,0.001387559808612382,0.46107784431137727
SPX,IC,cn_future,cn_ret_oc,data_start,us_in_-1_0pct,758,0.00012635842686327953,0.0,0.49868073878627966
SPX,IC,cn_future,cn_ret_oc,data_start,us_in_0_1pct,947,0.0005075136240423702,0.00042308067823082496,0.47940865892291445
SPX,IC,cn_future,cn_ret_oc,data_start,us_in_1_2pct,248,-0.0015163618228370191,-0.0014319760413120664,0.5766129032258065
SPX,IC,cn_future,cn_ret_oc,data_start,us_ge_2pct,61,-0.002479783684465875,-0.0025313117996044188,0.5737704918032787
SPX,IM,cn_future,cn_ret_cc,data_start,us_le_-2pct,21,-0.004204763445669927,0.002931253802334055,0.42857142857142855
