n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,sample_start
208,36.277340957827015,0.4855769230769231,-1.055586059788944,-1.8565268085747264,118.48087968828831,620.5949937557691,-358.0779718556644,-3.574305398778088,-17.257645173342762,-0.05366153598766603,-0.12849228244243865,naive_short_SPX_IF_thr0.005,naive_short,SPX,IF,0.005,2022-07-22
208,36.277340957827015,0.4423076923076923,-10.944413940211067,-10.143473191425272,118.48087968828831,346.0779718556643,-632.5949937557691,-21.528955997135157,-24.17432621674124,-0.5563677703682206,-1.3322198736252129,bounce_long_SPX_IF_thr0.005,bounce_long,SPX,IF,0.005,2022-07-22
282,49.18370264474625,0.5177304964539007,3.9625862944926333,4.450606715363132,93.35557802189139,600.4947468958925,-413.4626865671638,10.468750845579788,-18.789584685386973,0.2976795982603975,0.7127923253225218,fade_short_SPX_IF_thr0.005,fade_short,SPX,IF,0.005,2022-07-22
106,18.487491065046463,0.4056603773584906,-12.024115479211508,-13.069860071476917,120.57704634844006,620.5949937557691,-358.0779718556644,-12.639681042215955,-16.765206581199987,-0.42877305534059973,-1.0266949597416468,naive_short_SPX_IF_thr0.010,naive_short,SPX,IF,0.01,2022-07-22
106,18.487491065046463,0.5188679245283019,0.024115479211499688,1.0698600714769193,120.57704634844006,346.0779718556643,-632.5949937557691,-0.7414522623721553,-9.46640001578266,0.0008599441447809096,0.0020591320002712418,bounce_long_SPX_IF_thr0.010,bounce_long,SPX,IF,0.01,2022-07-22
128,22.324517512508933,0.5390625,5.191407313433358,7.358013415204485,82.15224457163731,236.39492636783822,-413.4626865671638,6.410459754156328,-6.767277512778724,0.2985772485248038,0.7149417444396924,fade_short_SPX_IF_thr0.010,fade_short,SPX,IF,0.01,2022-07-22
51,8.894924946390278,0.43137254901960786,-1.2828740800285503,-10.125838060855534,136.33654311792836,620.5949937557691,-332.89450222882726,-1.1067712711682165,-7.49653754866274,-0.028063568647990107,-0.06719807628855666,naive_short_SPX_IF_thr0.015,naive_short,SPX,IF,0.015,2022-07-22
51,8.894924946390278,0.49019607843137253,-10.717125919971453,-1.874161939144464,136.33654311792836,320.89450222882715,-632.5949937557691,-5.768366600288067,-9.38141917591051,-0.23444296182021201,-0.5613725122174753,bounce_long_SPX_IF_thr0.015,bounce_long,SPX,IF,0.015,2022-07-22
48,8.37169406719085,0.6041666666666666,3.913881465411962,12.285021727551532,95.62850577916839,236.39492636783822,-413.4626865671638,1.6752108654561004,-4.134626865671642,0.11842052260927005,0.28355735552536,fade_short_SPX_IF_thr0.015,fade_short,SPX,IF,0.015,2022-07-22
21,3.662616154395997,0.5238095238095238,28.668962696479483,1.0334902342694687,155.95256337251965,620.5949937557691,-123.39264751312817,5.9465781533708295,-2.7753632863913746,0.35181565869677306,0.8424208542097779,naive_short_SPX_IF_thr0.020,naive_short,SPX,IF,0.02,2022-07-22
21,3.662616154395997,0.42857142857142855,-40.668962696479504,-13.033490234269467,155.95256337251965,111.39264751312817,-632.5949937557691,-8.433348837276355,-10.204124051045426,-0.4990755351372873,-1.19503389980695,bounce_long_SPX_IF_thr0.020,bounce_long,SPX,IF,0.02,2022-07-22
20,3.488205861329521,0.7,-3.806905555579384,12.804186003788526,126.86677721389485,236.39492636783822,-413.4626865671638,-0.912463588795609,-4.134626865671642,-0.05604349986568054,-0.13419588316404069,fade_short_SPX_IF_thr0.020,fade_short,SPX,IF,0.02,2022-07-22
10,1.7441029306647604,0.5,56.00953999289327,-13.243981066442638,222.12629347692751,620.5949937557691,-123.39264751312817,5.517928518767956,-2.1518458563448917,0.33300295851930345,0.7973739367070075,naive_short_SPX_IF_thr0.025,naive_short,SPX,IF,0.025,2022-07-22
10,1.7441029306647604,0.5,-68.00953999289328,1.2439810664426412,222.12629347692751,111.39264751312817,-632.5949937557691,-6.812174285827743,-8.039227581376496,-0.4043485811175015,-0.9682106770497811,bounce_long_SPX_IF_thr0.025,bounce_long,SPX,IF,0.025,2022-07-22
11,1.9185132237312366,0.7272727272727273,-29.257572428096307,9.974440894568344,141.89435735631596,70.23888182973326,-413.4626865671638,-3.2715293535669376,-4.276155513360457,-0.285598263097016,-0.6838636280438644,fade_short_SPX_IF_thr0.025,fade_short,SPX,IF,0.025,2022-07-22
208,36.277340957827015,0.46153846153846156,-6.20992589978945,-5.830707636027659,135.54044688354034,607.6986301369861,-427.3861386138618,-13.76721484959088,-16.314406126095992,-0.2759530688491633,-0.6607682581351063,naive_short_SPX_IC_thr0.005,naive_short,SPX,IC,0.005,2022-07-22
208,36.277340957827015,0.4807692307692308,-5.7900741002105605,-6.169292363972339,135.54044688354034,415.3861386138617,-619.6986301369863,-13.033839165680238,-23.19748625299558,-0.2572959392110195,-0.6160938535190965,bounce_long_SPX_IC_thr0.005,bounce_long,SPX,IC,0.005,2022-07-22
282,49.18370264474625,0.5319148936170213,8.486124618712385,8.89798277556187,118.08424318938383,601.359482410027,-353.382630868458,24.579194473727718,-28.85201305378684,0.5039971314933845,1.2068186379329826,fade_short_SPX_IC_thr0.005,fade_short,SPX,IC,0.005,2022-07-22
106,18.487491065046463,0.3867924528301887,-14.893219323651742,-30.369399312265116,140.8462250530136,607.6986301369861,-427.3861386138618,-15.494038915733487,-15.242610012846924,-0.4546554089234164,-1.0886701273477837,naive_short_SPX_IC_thr0.010,naive_short,SPX,IC,0.01,2022-07-22
106,18.487491065046463,0.5754716981132075,2.8932193236517363,18.369399312265116,140.8462250530136,415.3861386138617,-619.6986301369863,2.0363634844460465,-12.47206974615256,0.08832326887250033,0.21148963035298257,bounce_long_SPX_IC_thr0.010,bounce_long,SPX,IC,0.01,2022-07-22
128,22.324517512508933,0.5703125,17.354587991703415,13.319761685565597,118.60364193051642,601.359482410027,-233.01812191103787,23.7551798215355,-5.996912911177477,0.6913648943624487,1.655469819157339,fade_short_SPX_IC_thr0.010,fade_short,SPX,IC,0.01,2022-07-22
51,8.894924946390278,0.4117647058823529,-14.687601881344694,-29.225057256217596,158.24697523637212,607.6986301369861,-427.3861386138618,-7.79731921227852,-10.627219664906384,-0.2768130869665344,-0.6628275672623789,naive_short_SPX_IC_thr0.015,naive_short,SPX,IC,0.015,2022-07-22
51,8.894924946390278,0.5490196078431373,2.6876018813446865,17.225057256217596,158.24697523637212,415.3861386138617,-619.6986301369863,0.7405116616835627,-7.3815174811909685,0.050652474060930645,0.12128709854562027,bounce_long_SPX_IC_thr0.015,bounce_long,SPX,IC,0.015,2022-07-22
48,8.37169406719085,0.5625,7.801526366365124,16.962961614053093,99.44155417379075,327.70104798676186,-233.01812191103787,3.5739285675431054,-5.69883549191097,0.22699607712729564,0.5435409836623029,fade_short_SPX_IC_thr0.015,fade_short,SPX,IC,0.015,2022-07-22
21,3.662616154395997,0.2857142857142857,-16.554686427152127,-50.198895027625085,170.14594277744118,607.6986301369861,-193.91227515030596,-3.6925272273578558,-5.535908901442244,-0.18620659758691466,-0.44587077670088876,naive_short_SPX_IC_thr0.020,naive_short,SPX,IC,0.02,2022-07-22
