us_code,cn_code,cn_kind,y_col,sample_start,n,alpha,beta_pos,beta_neg,se_pos,se_neg,t_pos,t_neg,p_pos,p_neg,asymmetry_F,asymmetry_p,r2,cond_n,cond_p_cn_down_given_us_down,cond_p_cn_up_given_us_up,cond_p_cn_down_given_us_up,cond_p_cn_up_given_us_down,cond_e_cn_given_us_down,cond_e_cn_given_us_up,cond_asymmetry_prob,cond_asymmetry_mean
SPX,HS300,cn_index,cn_ret_cc,2022-07-22,926,0.0006155970323793647,0.11082917424636901,0.2723861453845168,0.06341905660241176,0.11282852313693889,1.7475689514144286,2.414160336512819,0.08053869561042924,0.015771520346932764,1.0895187443317809,0.2965778641534501,0.03296798592538164,926,0.5823389021479713,0.5463510848126233,0.4536489151873767,0.41766109785202865,-0.0009667114272806235,0.0011437629373358886,0.03598781733534806,-0.00017705151005526507
SPX,HS300,cn_index,cn_ret_oc,2022-07-22,926,0.0007344918870014491,-0.07557860520077285,0.005119534599353721,0.04261537697879799,0.06628692171609171,-1.7735054939998474,0.07723295133964429,0.0761449823259018,0.9384382285460806,0.7725187797722893,0.3794389737981584,0.0025974305690624755,926,0.4916467780429594,0.5009861932938856,0.4990138067061144,0.5083532219570406,0.000859709679579616,5.876649145369533e-05,-0.009339415250926186,-0.0009184761710333113
SPX,ZZ500,cn_index,cn_ret_cc,2022-07-22,926,0.0010588259439509597,0.08574548851546651,0.31504804754179005,0.0688777883087682,0.15265053157250277,1.2448931741403062,2.0638516243368277,0.21317102030614288,0.03903178661697802,1.3810039642215053,0.23993020973206142,0.02346468086894049,926,0.568019093078759,0.5621301775147929,0.4378698224852071,0.431980906921241,-0.0009307166707967709,0.0014967314224158257,0.005888915563966091,-0.0005660147516190547
SPX,ZZ500,cn_index,cn_ret_oc,2022-07-22,926,0.0010091325195292124,-0.0793168043868767,0.0007667522072666091,0.058581478519238284,0.09899422374473432,-1.3539570251855098,0.0077454237051623335,0.17575008865524244,0.9938201077990945,0.3595427162036711,0.5487603089332771,0.0017234525088917207,926,0.477326968973747,0.5364891518737672,0.4635108481262327,0.522673031026253,0.0010120036722542772,0.0004328511577295054,-0.05916218290002023,-0.0014448548299837826
SPX,ZZ1000,cn_index,cn_ret_cc,2022-07-22,926,0.001001243712092856,0.11095420797609402,0.3536083591831487,0.0785790423512121,0.18266236712411044,1.4120076378658302,1.93585775083539,0.15794771226380222,0.0528851254901731,1.099394083675535,0.294399116059133,0.024479277887732076,926,0.5178997613365155,0.5779092702169625,0.42209072978303747,0.4821002386634845,-0.0011044682544469556,0.001493150455094293,-0.06000950888044698,-0.0003886822006473373
SPX,ZZ1000,cn_index,cn_ret_oc,2022-07-22,926,0.0009987668244294244,-0.058609219461436685,0.025281866201344295,0.06688847407575137,0.12107303923349279,-0.8762230006183367,0.20881499598426284,0.3809088149371669,0.834592664290357,0.2694212476339607,0.6037202686714916,0.0006623920282764484,926,0.45823389021479716,0.5483234714003945,0.4516765285996055,0.5417661097852029,0.000914025521806519,0.0005017937267557058,-0.09008958118559734,-0.0014158192485622246
SPX,SSE50,cn_index,cn_ret_cc,2022-07-22,926,0.00043201087068766273,0.09093268919602654,0.22325684683754038,0.06956896856490029,0.09481215764282502,1.3070869249871977,2.3547280474155046,0.19118319134058703,0.018536265965477156,0.8415477559201636,0.35895448675871244,0.02505316374314892,926,0.5775656324582339,0.5424063116370809,0.45759368836291914,0.4224343675417661,-0.0008674788713114572,0.0008677130866380901,0.03515932082115303,-2.342153266329328e-07
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,926,0.0005249735595378571,-0.07252062451097026,0.004480527137902715,0.04400973791740026,0.05990339808777556,-1.647831319674766,0.07479587604258217,0.09938729012595328,0.9403771230695097,0.7777647086808323,0.3778256442798218,0.0026120703751612018,926,0.5059665871121718,0.5029585798816568,0.4970414201183432,0.49403341288782815,0.0006441354767125353,-0.00012009613868822227,0.003008007230514975,-0.0005240393380243131
SPX,IF,cn_future,cn_ret_cc,2022-07-22,926,0.0009054235715548982,0.08671251457314935,0.33233637868957694,0.07056070783835217,0.15871605311154746,1.2289065292797152,2.093905261467201,0.21910685315250777,0.0362684204893499,1.3986142770057535,0.23695572364554293,0.03602167094544184,926,0.5966587112171837,0.5187376725838264,0.4812623274161736,0.4033412887828162,-0.0010380219333549674,0.0012121964990538558,0.07792103863335731,-0.00017417456569888837
SPX,IF,cn_future,cn_ret_oc,2022-07-22,926,0.0006931514705468286,-0.09480346697963404,0.11941142797133847,0.050390307381891965,0.11420943907403103,-1.8813829862387819,1.0455478018234157,0.05991983957131404,0.2957698597016446,2.1099390224664774,0.14634514892295727,0.0055158371510537485,926,0.5298329355608592,0.47928994082840237,0.5187376725838264,0.4701670644391408,0.00012187082930813734,-0.00020595361063212617,0.050542994732456825,8.408278132398884e-05
