date,IF,IC,IM,IH
2022-07-22,0.001290269836019143,0.012579103062482156,0.012648226950354547,0.0
2022-07-25,0.0,0.0,0.0,0.0
2022-07-26,0.0,0.0,0.0,0.0
2022-07-27,0.0,0.0,0.0,0.0
2022-07-28,0.004169775678866495,0.004040883977900523,-0.0018658227848101332,0.0
2022-07-29,0.01565207296849096,0.009653164556962014,0.005430855539971958,0.0
2022-08-01,-0.007110730648661589,-0.009778125999360409,-0.009991530649769608,0.0
2022-08-02,0.0,0.0,0.0,0.0
2022-08-03,0.0,0.0,0.0,0.0
2022-08-04,-0.0013338551859099594,0.004694786421958797,0.005486831097648848,0.0
2022-08-05,0.0,0.0,0.0,0.0
2022-08-08,0.0,0.0,0.0,0.0
2022-08-09,0.0,0.0,0.0,0.0
2022-08-10,0.0,0.0,0.0,0.0
2022-08-11,-0.016580629539951607,-0.01621462844138206,-0.01218108145638348,0.0
2022-08-12,0.0,0.0,0.0,0.0
2022-08-15,-0.0024202720827744655,-0.004880179955011176,-0.008366990291262043,0.0
2022-08-16,0.0,0.0,0.0,0.0
2022-08-17,0.0,0.0,0.0,0.0
2022-08-18,0.0,0.0,0.0,0.0
2022-08-19,0.0,0.0,0.0,0.0
2022-08-22,0.0,0.0,0.0,-0.003147307132459986
2022-08-23,0.0,0.0,0.0,0.006942790832608004
2022-08-24,0.0,0.0,0.0,0.0
2022-08-25,0.0,0.0,0.0,0.0
2022-08-26,0.003376914496338413,0.0027386327503974746,0.007579548259334757,0.0
2022-08-29,0.0,0.0,0.0,-0.001331743011854302
2022-08-30,0.0,0.0,0.0,0.0
2022-08-31,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0
2022-09-02,0.0,0.0,0.0,0.0
2022-09-05,0.0,0.0,0.0,0.0
2022-09-06,0.0,0.0,0.0,0.0
2022-09-07,0.0,0.0,0.0,0.0
2022-09-08,0.005845264452644484,0.002674935614129837,0.0061905337070535145,0.0
2022-09-09,0.0,0.0,0.0,0.0
2022-09-13,-0.0023552413456849434,0.004522529644268736,0.005715607336486395,0.0
2022-09-14,0.0,0.0,0.0,-0.003810507114191907
2022-09-15,0.0,0.0,0.0,0.0
2022-09-16,0.0,0.0,0.0,0.0
2022-09-19,0.0,0.0,0.0,0.0
2022-09-20,0.0,0.0,0.0,0.0
2022-09-21,0.0,0.0,0.0,0.0
2022-09-22,0.0,0.0,0.0,0.0
2022-09-23,0.0,0.0,0.0,0.0
2022-09-26,0.0,0.0,0.0,0.0
2022-09-27,0.0,0.0,0.0,0.0
2022-09-28,0.0,0.0,0.0,0.0
2022-09-29,0.007310656119125115,0.005271244635193063,0.006188844621513968,0.0
2022-09-30,0.0,0.0,0.0,0.003216793893129722
2022-10-10,0.0,0.0,0.0,0.026610884353741416
2022-10-11,0.0,0.0,0.0,0.0
2022-10-12,0.0,0.0,0.0,0.0
2022-10-13,0.0,0.0,0.0,0.0
2022-10-14,-0.015393680984836577,-0.01666330231610409,-0.019330158730158708,0.0
2022-10-17,0.0,0.0,0.0,-0.0015309542280837578
2022-10-18,0.006287622993267728,-0.002692119682528981,-0.0054252397154344704,0.0
2022-10-19,0.0,0.0,0.0,0.0
2022-10-20,0.0,0.0,0.0,0.0
2022-10-21,0.0,0.0,0.0,0.0
2022-10-24,0.02363949263678382,0.007173328397886692,0.0009698587127158659,0.0
2022-10-25,0.0,0.0,0.0,0.0
