year,1,2,3,4,5,6,7,8,9,10,11,12
2018,,0.000979170497378945,-0.024566558550436213,0.003282472937847558,,,,,,0.0053395339741113546,0.04706612549270295,0.02927177680710158
2019,-0.008930791528145243,,,,,0.013267424084207002,,0.014569144580909299,,,,
2020,,,0.13997564115141858,-0.022781604848649772,0.017025346902838745,0.0032952181681764614,-0.006323011235989218,,0.03140661720051141,-0.001886370597243503,0.015218277516172218,
2021,,-0.0065645267618897885,0.03709795445981845,,,,-0.0069812507251422184,,,-0.003311961176134859,,-0.024121156811877542
2022,,-0.003923812453650477,-0.013718961876698965,-0.009505927690801053,0.02071447118797143,0.018434873644263217,-0.025289537008256424,-0.016419555789890072,0.007960280489328175,-0.037774226114897336,0.017063999999999968,0.00876116217312517
2023,0.001978853402102576,,-0.00470353450509986,-0.014048700499060263,-0.004532312651087778,,,,,,-0.006318699856414867,
2024,,-0.0017583011583012231,,,,,,0.04622938936664478,0.009598675496688802,,-0.023301812191103832,
2025,0.0015796781341954613,,0.0037577878258430175,0.007130989400816468,0.01112898268532736,,,-0.011366530134581665,,0.03277010479867615,0.012101647229034729,
2026,,-0.006846973365617459,,0.0014594378084935578,,,,,,,,
