us_code,cn_code,cn_kind,y_col,sample_start,n,alpha,beta_pos,beta_neg,se_pos,se_neg,t_pos,t_neg,p_pos,p_neg,asymmetry_F,asymmetry_p,r2,cond_n,cond_p_cn_down_given_us_down,cond_p_cn_up_given_us_up,cond_p_cn_down_given_us_up,cond_p_cn_up_given_us_down,cond_e_cn_given_us_down,cond_e_cn_given_us_up,cond_asymmetry_prob,cond_asymmetry_mean
SPX,HS300,cn_index,cn_ret_cc,data_start,2762,0.0006021223033134038,0.1237566950564346,0.26669956043234344,0.05905601833326859,0.06120979452261026,2.0955814250470315,4.357138632998145,0.03611933840073944,1.3177380919297545e-05,3.4260195401521734,0.06417660522201436,0.028802530270025994,2762,0.5517515923566879,0.5704787234042553,0.4295212765957447,0.4482484076433121,-0.0016229547056203942,0.0017042614046072484,-0.018727131047567402,-8.130669898685425e-05
SPX,HS300,cn_index,cn_ret_oc,data_start,2762,0.0008274773693589655,-0.07752553885586169,-0.07147351906866392,0.04819712606855696,0.045582890061573254,-1.6085095768072804,-1.5679900719791497,0.10772362045757083,0.11688344933066096,0.006424886934360855,0.9361136676447117,0.004955464388447517,2762,0.46656050955414013,0.5285904255319149,0.4714095744680851,0.5334394904458599,0.0010049424927676385,0.0005626252883799154,-0.0620299159777748,-0.001567567781147554
SPX,ZZ500,cn_index,cn_ret_cc,data_start,2762,0.0005915242046085108,0.14757711014147062,0.2622193002115421,0.06275953607385963,0.07754392800243529,2.351469105313207,3.381558130551589,0.01869944241264587,0.0007207598098597483,1.6446766218164777,0.19968502274399022,0.021950009027352224,2762,0.5326433121019108,0.5791223404255319,0.4208776595744681,0.46735668789808915,-0.0017190469476474977,0.001968609780601985,-0.04647902832362105,-0.00024956283295448733
SPX,ZZ500,cn_index,cn_ret_oc,data_start,2762,0.0007865403830992892,-0.050731188263764174,-0.10123781128751941,0.059639835970149484,0.05648137820857635,-0.8506258851743957,-1.7924104279761903,0.39497720557510996,0.07306724561182444,0.30414696539375785,0.5812942501493517,0.0037847589352534294,2762,0.4585987261146497,0.5565159574468085,0.4434840425531915,0.5414012738853503,0.0010406556186055211,0.0008370577499492396,-0.0979172313321588,-0.0018777133685547608
SPX,ZZ1000,cn_index,cn_ret_cc,data_start,2762,0.0004963910376539499,0.17698666559302312,0.27201058165766373,0.0676985998483882,0.08086317830211173,2.614332733459581,3.363837377766788,0.008940192383072034,0.0007686682181798676,0.9396572255387268,0.3323660100658846,0.02183548230004073,2762,0.5095541401273885,0.5844414893617021,0.41555851063829785,0.49044585987261147,-0.0018424327500253903,0.002049860320285901,-0.07488734923431362,-0.00020742757026051052
SPX,ZZ1000,cn_index,cn_ret_oc,data_start,2762,0.0009282893312596492,-0.029660979486352504,-0.10430193928336427,0.06551598874416822,0.06283900252891353,-0.45272886901203513,-1.6598280540079036,0.6507439889450823,0.09694904831620478,0.5218705854847584,0.4700448324525598,0.002749113202057396,2762,0.4434713375796178,0.5691489361702128,0.4308510638297872,0.5565286624203821,0.001242885825400332,0.001100488297884952,-0.12567759859059496,-0.002343374123285284
SPX,SSE50,cn_index,cn_ret_cc,data_start,2762,0.0006062404423619633,0.09319172578259455,0.25205379606273454,0.0564849633139486,0.05672348120844127,1.6498501603803193,4.44355301707444,0.09897358653077142,8.848533917328642e-06,4.7368149143485905,0.02952368261018685,0.024273103988891376,2762,0.5597133757961783,0.557845744680851,0.4421542553191489,0.44028662420382164,-0.0014535542932958428,0.0014391140380967831,0.001867631115327284,1.4440255199059697e-05
SPX,SSE50,cn_index,cn_ret_oc,data_start,2762,0.0008070024969264293,-0.09317748720324688,-0.0526250857799735,0.043219377580460225,0.041818876218581304,-2.155919229280457,-1.2584050682019687,0.031089972673683595,0.20824529991829954,0.38078555210710624,0.5371831217563521,0.005011051135589195,2762,0.4928343949044586,0.507313829787234,0.49268617021276595,0.5071656050955414,0.0009170958752980005,0.00036864600452098497,-0.014479434882775477,-0.0012857418798189854
NDX,HS300,cn_index,cn_ret_cc,data_start,2762,0.0006116229636955557,0.11140221382247095,0.22934705683705148,0.04521183831358754,0.04664746593547601,2.4640054016337394,4.916602697224546,0.013739404083130345,8.805901174340741e-07,3.37239320832003,0.06629738291841528,0.031316992101994456,2762,0.5506644518272426,0.5658317276814386,0.4341682723185613,0.44933554817275745,-0.0016467408105488974,0.0016138201580248224,-0.015167275854196083,3.2920652524075006e-05
NDX,HS300,cn_index,cn_ret_oc,data_start,2762,0.0008867028392813055,-0.06301249152818086,-0.045149390860669034,0.036782294561032124,0.037316630450349164,-1.7131201922062123,-1.209899991392352,0.08669042995987214,0.22631727054376383,0.09142003914548384,0.7623795730126346,0.003811297953526638,2762,0.46179401993355484,0.525369299935774,0.4746307000642261,0.5382059800664452,0.0010860620573716713,0.0005195265981675096,-0.06357528000221913,-0.001605588655539181
NDX,ZZ500,cn_index,cn_ret_cc,data_start,2762,0.0006613719231483128,0.11774031451923084,0.22555993828068938,0.0485101142075464,0.05748875516412765,2.4271291965112454,3.92354883379761,0.01521883517085611,8.725406894306036e-05,2.1261575838511355,0.14480334470735728,0.022514145168876953,2762,0.526578073089701,0.5709698137443803,0.4290301862556198,0.473421926910299,-0.0016991568015749935,0.0018269805479980586,-0.044391740654679324,-0.00012782374642306507
NDX,ZZ500,cn_index,cn_ret_oc,data_start,2762,0.0008700718859573885,-0.04737470640280946,-0.06913168262234344,0.04589546575368305,0.04614951997602645,-1.0322306490376494,-1.497993536189665,0.3019640803839475,0.13413492984720815,0.08950944086796568,0.7648017286454327,0.003056973719817724,2762,0.4485049833887043,0.548490687219011,0.4515093127809891,0.5514950166112956,0.0011728490066114205,0.0007426501185127382,-0.09998570383030664,-0.0019154991251241586
