,IF,IC,IM,IH
IF,1.0,0.777402117064661,0.6483219973118982,-0.0008058058767173773
IC,0.777402117064661,1.0,0.9222310387826743,-0.0019818377409533947
IM,0.6483219973118982,0.9222310387826743,1.0,-0.0016908861268967424
IH,-0.0008058058767173773,-0.0019818377409533947,-0.0016908861268967424,1.0
