us_code,cn_code,y_col,bucket,count,cn_mean,cn_median,cn_pct_down
SPX,HS300,cn_ret_cc,us_le_-2pct,95,-0.0071665984217235135,-0.0055275255795067535,0.631578947368421
SPX,HS300,cn_ret_cc,us_in_-2_-1pct,206,-0.0043690110705559134,-0.003558756889782355,0.6262135922330098
SPX,HS300,cn_ret_cc,us_in_-1_0pct,955,-0.00047914971692247446,-0.0006319710407586276,0.5277486910994764
SPX,HS300,cn_ret_cc,us_in_0_1pct,1133,0.001366119724822202,0.0012052625920848659,0.440423654015887
SPX,HS300,cn_ret_cc,us_in_1_2pct,304,0.0019704104151324494,0.0017684316095497588,0.40789473684210525
SPX,HS300,cn_ret_cc,us_ge_2pct,69,0.0060672886650244805,0.0033876430548982484,0.34782608695652173
SPX,HS300,cn_ret_oc,us_le_-2pct,95,0.004402341655036157,0.0025420872642198944,0.4105263157894737
SPX,HS300,cn_ret_oc,us_in_-2_-1pct,206,0.0011554877447994775,0.0012139511199130704,0.4174757281553398
SPX,HS300,cn_ret_oc,us_in_-1_0pct,955,0.0006345076840408656,0.0002928081762307855,0.4827225130890052
SPX,HS300,cn_ret_oc,us_in_0_1pct,1133,0.0008515583369695554,0.0010096578183431681,0.45454545454545453
SPX,HS300,cn_ret_oc,us_in_1_2pct,304,-0.0002970078183493412,-0.0002290118136996644,0.5098684210526315
SPX,HS300,cn_ret_oc,us_ge_2pct,69,-0.000372890532481921,-0.0014945420388322583,0.5797101449275363
SPX,ZZ500,cn_ret_cc,us_le_-2pct,95,-0.007306073145432944,-0.0031323956016797716,0.5894736842105263
SPX,ZZ500,cn_ret_cc,us_in_-2_-1pct,206,-0.0043834705839502185,-0.002264188122156119,0.558252427184466
SPX,ZZ500,cn_ret_cc,us_in_-1_0pct,955,-0.0005885351593040654,-0.0002890266488128068,0.5214659685863874
SPX,ZZ500,cn_ret_cc,us_in_0_1pct,1133,0.001475140999033422,0.0016163182078685612,0.4298323036187114
SPX,ZZ500,cn_ret_cc,us_in_1_2pct,304,0.0026237215893987185,0.0021606028028529067,0.40789473684210525
SPX,ZZ500,cn_ret_cc,us_ge_2pct,69,0.007052850480683978,0.005311790393823124,0.3333333333333333
SPX,ZZ500,cn_ret_oc,us_le_-2pct,95,0.005637616643083841,0.004665077941871765,0.37894736842105264
