us_code,cn_code,cn_kind,y_col,sample_start,bucket,count,cn_mean,cn_median,cn_pct_down
SPX,SSE50,cn_index,cn_ret_cc,2022-07-22,us_in_-1_0pct,313,-0.00043197449274162106,-0.0012426280853428118,0.5750798722044729
SPX,SSE50,cn_index,cn_ret_cc,2022-07-22,us_in_0_1pct,379,0.0006778483313446044,0.000733502978088163,0.45646437994722955
SPX,SSE50,cn_index,cn_ret_cc,2022-07-22,us_in_1_2pct,108,0.0009278909831224262,0.0010389241334370913,0.4537037037037037
SPX,SSE50,cn_index,cn_ret_cc,2022-07-22,us_ge_2pct,20,0.00414068955843423,-0.0003462044395862174,0.5
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,us_le_-2pct,21,-0.0006734989401610573,-0.00045711686700178333,0.5238095238095238
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,us_in_-2_-1pct,85,0.0021147670414536786,0.001658964420777842,0.43529411764705883
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,us_in_-1_0pct,313,0.0003331662746401655,-0.0006448356763824048,0.5239616613418531
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,us_in_0_1pct,379,2.1227959193890926e-05,0.0003489583738345292,0.48021108179419525
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,us_in_1_2pct,108,-0.0005938461630636045,-0.0004959212856310846,0.5277777777777778
SPX,SSE50,cn_index,cn_ret_oc,2022-07-22,us_ge_2pct,20,-0.00023993766192720312,-0.002008697175262919,0.65
SPX,IF,cn_future,cn_ret_cc,2022-07-22,us_le_-2pct,21,-0.008491288824382326,-0.004902753084424227,0.7619047619047619
SPX,IF,cn_future,cn_ret_cc,2022-07-22,us_in_-2_-1pct,85,-0.001450525302448909,-0.0024406953840885315,0.6
SPX,IF,cn_future,cn_ret_cc,2022-07-22,us_in_-1_0pct,313,-0.00042594081167905825,-0.0016979850577314437,0.5846645367412141
SPX,IF,cn_future,cn_ret_cc,2022-07-22,us_in_0_1pct,379,0.0011627286001353449,0.00022397670642249068,0.48812664907651715
SPX,IF,cn_future,cn_ret_cc,2022-07-22,us_in_1_2pct,108,0.0006638429144433214,0.00020966361622842822,0.4722222222222222
SPX,IF,cn_future,cn_ret_cc,2022-07-22,us_ge_2pct,20,0.00511072254045652,0.0005347548745425756,0.4
SPX,IF,cn_future,cn_ret_oc,2022-07-22,us_le_-2pct,21,-0.003466896269647949,-0.0007033490234269468,0.5714285714285714
SPX,IF,cn_future,cn_ret_oc,2022-07-22,us_in_-2_-1pct,85,0.0016077699499088105,0.0007339242364365894,0.4
SPX,IF,cn_future,cn_ret_oc,2022-07-22,us_in_-1_0pct,313,-4.086819999850612e-05,-0.001079913606911398,0.5623003194888179
SPX,IF,cn_future,cn_ret_oc,2022-07-22,us_in_0_1pct,379,0.00010245787076902119,-0.00012962882945177778,0.503957783641161
SPX,IF,cn_future,cn_ret_oc,2022-07-22,us_in_1_2pct,108,-0.001285776154843572,-0.0006836385187366512,0.5277777777777778
SPX,IF,cn_future,cn_ret_oc,2022-07-22,us_ge_2pct,20,-0.0002193094444420618,-0.0018804186003788526,0.75
