n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days
481,34.40750513046027,0.4781704781704782,-5.209198329591557,-2.4513839602564533,122.79303052760895,620.5949937557691,-387.2113457027078,-24.930288394644464,-33.876108359719446,-0.24884204767060747,-0.9304000240374333,naive_short_SPX_IF_thr0.005,naive_short,SPX,IF,0.005,1
481,34.40750513046027,0.4594594594594595,-6.7908016704084595,-9.548616039743546,122.79303052760896,375.2113457027077,-632.5949937557691,-30.449572277966976,-33.21501839116996,-0.3243948273940876,-1.2128856759955358,bounce_long_SPX_IF_thr0.005,bounce_long,SPX,IF,0.005,1
655,46.85429492817355,0.5099236641221374,1.598031244049662,2.2954942368151934,107.09018300669044,600.4947468958925,-608.0533422609087,6.955631363457693,-18.789584685387027,0.10214339976857119,0.38190580124843165,fade_short_SPX_IF_thr0.005,fade_short,SPX,IF,0.005,1
481,34.40750513046027,0.4781704781704782,-5.209198329591557,-2.4513839602564533,122.79303052760895,620.5949937557691,-387.2113457027078,-24.930288394644464,-33.876108359719446,-0.24884204767060747,-0.9304000240374333,multi_day_h1_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,1
481,34.40750513046027,0.5239085239085239,5.350512460208102,9.93110871905168,205.95853515328142,1149.8985667034171,-653.4172185430472,16.900801325857074,-27.222997153807516,0.15238498516850282,0.5697549718421863,multi_day_h3_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,3
481,34.40750513046027,0.49272349272349275,9.124806942510126,-2.368352788586042,274.3448990342943,1254.8599779492836,-757.953125,29.694179825963584,-47.435177709526776,0.19509825575209389,0.7294563902708553,multi_day_h5_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,5
250,17.8833186748754,0.444,-9.181471883449657,-11.202533506857286,129.56272964223731,620.5949937557691,-387.2113457027078,-22.159869261975594,-29.85531180946558,-0.29967897679963745,-1.1204751360468315,naive_short_SPX_IF_thr0.010,naive_short,SPX,IF,0.01,1
250,17.8833186748754,0.5,-2.818528116550355,-0.7974664931427119,129.5627296422373,375.2113457027077,-632.5949937557691,-8.741142091963262,-18.667270761069965,-0.09199544830838897,-0.3439634423470045,bounce_long_SPX_IF_thr0.010,bounce_long,SPX,IF,0.01,1
309,22.103781882146,0.5307443365695793,8.990006618359542,6.810658467845571,101.95055826668877,460.353354335588,-413.4626865671638,29.916914971409557,-8.303683319818699,0.4145755603192594,1.550064046237679,fade_short_SPX_IF_thr0.010,fade_short,SPX,IF,0.01,1
250,17.8833186748754,0.444,-9.181471883449657,-11.202533506857286,129.56272964223731,620.5949937557691,-387.2113457027078,-22.159869261975594,-29.85531180946558,-0.29967897679963745,-1.1204751360468315,multi_day_h1_SPX_IF_thr0.010,multi_day,SPX,IF,0.01,1
250,17.8833186748754,0.512,-3.2915332039006397,6.3205365865064485,211.07692480357176,661.340748230536,-653.4172185430472,-12.87088694090458,-33.784654160241324,-0.06594494949636452,-0.24656276208505082,multi_day_h3_SPX_IF_thr0.010,multi_day,SPX,IF,0.01,3
250,17.8833186748754,0.456,7.878829610146398,-26.415280998820062,287.21652368859515,1089.1201898277106,-757.953125,10.011643930124968,-33.85507793698851,0.11600490286656497,0.4337328254040912,multi_day_h5_SPX_IF_thr0.010,multi_day,SPX,IF,0.01,5
149,10.65845793022574,0.44966442953020136,-9.953592641719828,-13.415858528236894,143.93644739668096,620.5949937557691,-387.2113457027078,-15.098777625356552,-24.19678487513216,-0.22576482142108348,-0.8441161662317954,naive_short_SPX_IF_thr0.015,naive_short,SPX,IF,0.015,1
149,10.65845793022574,0.5100671140939598,-2.0464073582801823,1.4158585282368965,143.936447396681,375.2113457027077,-632.5949937557691,-4.487237631505714,-10.52210968175361,-0.0464160839635375,-0.17354593421672662,bounce_long_SPX_IF_thr0.015,bounce_long,SPX,IF,0.015,1
123,8.798592788038698,0.6341463414634146,22.925903072415576,15.63393111300871,118.0446186720536,460.353354335588,-413.4626865671638,31.419824379475948,-5.065516884459087,0.5760853982804912,2.153936094904964,fade_short_SPX_IF_thr0.015,fade_short,SPX,IF,0.015,1
149,10.65845793022574,0.44966442953020136,-9.953592641719828,-13.415858528236894,143.93644739668096,620.5949937557691,-387.2113457027078,-15.098777625356552,-24.19678487513216,-0.22576482142108348,-0.8441161662317954,multi_day_h1_SPX_IF_thr0.015,multi_day,SPX,IF,0.015,1
149,10.65845793022574,0.5100671140939598,-23.645947282046727,7.70585134422675,212.82734043265043,661.340748230536,-653.4172185430472,-32.055862755038035,-44.650380054378324,-0.36272416256737555,-1.3561959191814914,multi_day_h3_SPX_IF_thr0.015,multi_day,SPX,IF,0.015,3
149,10.65845793022574,0.4429530201342282,-3.713781516813686,-31.279884434814548,316.0646413343335,1089.1201898277106,-757.953125,-12.049294861733728,-40.4208479300925,-0.0383607972750013,-0.1434278774059936,multi_day_h5_SPX_IF_thr0.015,multi_day,SPX,IF,0.015,5
