n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days,sample_start
208,36.277340957827015,0.4855769230769231,-1.055586059788944,-1.8565268085747264,118.48087968828831,620.5949937557691,-358.0779718556644,-3.574305398778088,-17.257645173342762,-0.05366153598766603,-0.12849228244243865,naive_short_SPX_IF_thr0.005,naive_short,SPX,IF,0.005,1,2022-07-22
208,36.277340957827015,0.4423076923076923,-10.944413940211067,-10.143473191425272,118.48087968828831,346.0779718556643,-632.5949937557691,-21.528955997135157,-24.17432621674124,-0.5563677703682206,-1.3322198736252129,bounce_long_SPX_IF_thr0.005,bounce_long,SPX,IF,0.005,1,2022-07-22
282,49.18370264474625,0.5177304964539007,3.9625862944926333,4.450606715363132,93.35557802189139,600.4947468958925,-413.4626865671638,10.468750845579788,-18.789584685386973,0.2976795982603975,0.7127923253225218,fade_short_SPX_IF_thr0.005,fade_short,SPX,IF,0.005,1,2022-07-22
208,36.277340957827015,0.4855769230769231,-1.055586059788944,-1.8565268085747264,118.48087968828831,620.5949937557691,-358.0779718556644,-3.574305398778088,-17.257645173342762,-0.05366153598766603,-0.12849228244243865,multi_day_h1_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,1,2022-07-22
208,36.277340957827015,0.5384615384615384,9.262216770364752,18.03938467857747,193.5225227513953,1149.8985667034171,-540.3467824894277,16.67868223681075,-23.766810307447507,0.2882711279743146,0.6902637897690759,multi_day_h3_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,3,2022-07-22
208,36.277340957827015,0.5288461538461539,18.661424495262683,15.288718038068312,241.604511394762,1254.8599779492836,-757.953125,38.83734716792158,-26.992370192521932,0.46521903481037913,1.1139646772726286,multi_day_h5_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,5,2022-07-22
106,18.487491065046463,0.4056603773584906,-12.024115479211508,-13.069860071476917,120.57704634844006,620.5949937557691,-358.0779718556644,-12.639681042215955,-16.765206581199987,-0.42877305534059973,-1.0266949597416468,naive_short_SPX_IF_thr0.010,naive_short,SPX,IF,0.01,1,2022-07-22
106,18.487491065046463,0.5188679245283019,0.024115479211499688,1.0698600714769193,120.57704634844006,346.0779718556643,-632.5949937557691,-0.7414522623721553,-9.46640001578266,0.0008599441447809096,0.0020591320002712418,bounce_long_SPX_IF_thr0.010,bounce_long,SPX,IF,0.01,1,2022-07-22
128,22.324517512508933,0.5390625,5.191407313433358,7.358013415204485,82.15224457163731,236.39492636783822,-413.4626865671638,6.410459754156328,-6.767277512778724,0.2985772485248038,0.7149417444396924,fade_short_SPX_IF_thr0.010,fade_short,SPX,IF,0.01,1,2022-07-22
106,18.487491065046463,0.4056603773584906,-12.024115479211508,-13.069860071476917,120.57704634844006,620.5949937557691,-358.0779718556644,-12.639681042215955,-16.765206581199987,-0.42877305534059973,-1.0266949597416468,multi_day_h1_SPX_IF_thr0.010,multi_day,SPX,IF,0.01,1,2022-07-22
106,18.487491065046463,0.4811320754716981,-14.640163479033575,-21.67497382955363,183.56888914390586,560.1790403914324,-540.3467824894277,-15.888918646085394,-29.438979134825228,-0.3429144885969968,-0.821107046442674,multi_day_h3_SPX_IF_thr0.010,multi_day,SPX,IF,0.01,3,2022-07-22
106,18.487491065046463,0.4716981132075472,3.605733864635091,-9.522028637450434,237.2322104035006,1089.1201898277106,-757.953125,0.8970266382366532,-24.336999728956933,0.06535201788684293,0.15648508351362894,multi_day_h5_SPX_IF_thr0.010,multi_day,SPX,IF,0.01,5,2022-07-22
51,8.894924946390278,0.43137254901960786,-1.2828740800285503,-10.125838060855534,136.33654311792836,620.5949937557691,-332.89450222882726,-1.1067712711682165,-7.49653754866274,-0.028063568647990107,-0.06719807628855666,naive_short_SPX_IF_thr0.015,naive_short,SPX,IF,0.015,1,2022-07-22
51,8.894924946390278,0.49019607843137253,-10.717125919971453,-1.874161939144464,136.33654311792836,320.89450222882715,-632.5949937557691,-5.768366600288067,-9.38141917591051,-0.23444296182021201,-0.5613725122174753,bounce_long_SPX_IF_thr0.015,bounce_long,SPX,IF,0.015,1,2022-07-22
48,8.37169406719085,0.6041666666666666,3.913881465411962,12.285021727551532,95.62850577916839,236.39492636783822,-413.4626865671638,1.6752108654561004,-4.134626865671642,0.11842052260927005,0.28355735552536,fade_short_SPX_IF_thr0.015,fade_short,SPX,IF,0.015,1,2022-07-22
51,8.894924946390278,0.43137254901960786,-1.2828740800285503,-10.125838060855534,136.33654311792836,620.5949937557691,-332.89450222882726,-1.1067712711682165,-7.49653754866274,-0.028063568647990107,-0.06719807628855666,multi_day_h1_SPX_IF_thr0.015,multi_day,SPX,IF,0.015,1,2022-07-22
51,8.894924946390278,0.5098039215686274,-23.972684030891585,4.935221828786147,179.13527454624708,311.9881533825202,-540.3467824894277,-12.238117971048212,-20.43807650874848,-0.39912294141519417,-0.9556979086354438,multi_day_h3_SPX_IF_thr0.015,multi_day,SPX,IF,0.015,3,2022-07-22
51,8.894924946390278,0.5098039215686274,-6.924551309824525,0.9645344476587662,269.97817636277273,1089.1201898277106,-757.953125,-5.2018606074434315,-20.910734038920953,-0.07649518903180037,-0.18316735169155443,multi_day_h5_SPX_IF_thr0.015,multi_day,SPX,IF,0.015,5,2022-07-22
