year,1,2,3,4,5,6,7,8,9,10,11,12
2022,,,,,,,0.01624808987022086,-0.017521726333414755,0.018204272559671386,-0.061133552391749,0.043479575183723806,0.027284908067719105
2023,0.006251194591399889,-0.0121510524038011,-0.011464013492848979,-0.026591445642488165,-0.02643704873675945,-0.023067060834760067,-0.008879299354693448,0.013021659783965633,-0.0017678832116788668,0.0087958854678587,-0.012476832377879554,0.014943807226994066
2024,0.10128179672494286,0.09491241472020695,-0.007930300961034753,-0.009185617033740878,0.011664306828485627,0.0024051914473630642,0.029786475331899043,0.060179021294002544,0.03619689477060106,0.04901983471074378,-0.03793590433247118,0.011266591860881636
2025,0.00782342788930701,-0.0007104630143793811,0.003467248409674717,0.017394380155806966,0.020799474238930138,-0.029405966152828533,-0.0002036504618512236,-0.019451228815505317,0.022418973214285653,0.017890571195119165,0.0007875121938245577,-0.010349016389815446
2026,-0.00454673123486693,-0.026022855799480604,0.010866773338026992,0.003105628380096981,0.03349970716283135,,,,,,,
