n_years,pct_positive_years,best_year_pct,worst_year_pct,yearly_mean_pct,yearly_std_pct,total_return_pct,max_dd_pct,calmar,cn_fut,family,us_code,threshold
10,0.7,13.743,-2.631,2.9728,5.101570407455161,32.60946858040992,-5.639402801696014,5.782432950276726,IF,fade_short,NDX,0.02
9,0.5555555555555556,18.049,-3.5000000000000004,3.064666666666666,6.569067665962956,29.200506145441718,-9.786711016194872,2.98368942304736,IC,fade_short,SPX,0.015
10,0.8,17.23,-3.621,3.4779999999999998,5.879585624098956,38.81358892493773,-5.421209119045267,7.159581575368784,IH,fade_short,NDX,0.02
5,0.8,38.776,-7.8100000000000005,7.565000000000001,17.99305215909741,36.909896125327755,-10.687757297212986,3.453474391203909,IM,fade_short,NDX,0.01
