year,n_trades,hit_rate,mean_bps,std_bps,worst_bps,best_bps,return_pct
2018,12,0.6666666666666666,51.185294029353145,177.39240907277326,-223.8130211346696,297.1257027209355,6.136
2019,4,0.75,47.47028152027256,134.30233646691767,-145.19239904988112,145.69144580909233,1.885
2020,31,0.6451612903225806,54.526050153353175,133.99436374254984,-197.1314984709489,492.61598080826684,18.049
2021,9,0.2222222222222222,-4.766128006869836,124.08591977614675,-126.99129418963628,285.0990856503071,-0.489
2022,33,0.5454545454545454,-9.830552662731662,140.7552106527262,-346.44902465955045,331.9390144296223,-3.5
2023,9,0.3333333333333333,-30.671799548316006,54.63255519827536,-140.48700499060217,47.46465001758616,-2.739
2024,7,0.7142857142857143,42.870075594363996,133.5463515271737,-233.01812191103787,145.04602510460197,2.984
2025,15,0.6666666666666666,38.11078826435632,101.80678796034117,-113.6653013458162,327.70104798676186,5.796
2026,3,0.3333333333333333,-17.95541992665953,45.365682994881325,-68.46973365617414,19.313117996044188,-0.54
