entry_date,exit_date,entry_price,exit_price,us_ret_signal,gross_ret,net_ret
2022-07-22,2022-07-22,7050.0,6956.6,0.013612602567931953,0.013248226950354547,0.012648226950354547
2022-07-28,2022-07-28,7110.0,7119.0,0.04063530247442659,-0.0012658227848101333,-0.0018658227848101332
2022-07-29,2022-07-29,7130.0,7087.0,0.010818261715186184,0.006030855539971958,0.005430855539971958
2022-08-01,2022-08-01,7070.2,7136.6,0.018753789076947358,-0.009391530649769608,-0.009991530649769608
2022-08-04,2022-08-04,6933.0,6890.8,0.025865063124001164,0.006086831097648848,0.005486831097648848
2022-08-11,2022-08-11,7201.4,7284.8,0.028884026776619276,-0.01158108145638348,-0.01218108145638348
2022-08-15,2022-08-15,7210.0,7266.0,0.020913555422654273,-0.007766990291262044,-0.008366990291262043
2022-08-26,2022-08-26,6968.6,6911.6,0.01671060160081872,0.008179548259334757,0.007579548259334757
2022-09-08,2022-09-08,6921.4,6874.4,0.021393862500018734,0.006790533707053514,0.0061905337070535145
2022-09-13,2022-09-13,6935.2,6891.4,0.012722894580624367,0.006315607336486395,0.005715607336486395
2022-09-29,2022-09-29,6275.0,6232.4,0.020511816797074145,0.0067888446215139675,0.006188844621513968
2022-10-14,2022-10-14,6300.0,6418.0,0.022276231502694976,-0.018730158730158708,-0.019330158730158708
2022-10-18,2022-10-18,6466.0,6497.2,0.034337637143730504,-0.004825239715434471,-0.0054252397154344704
2022-10-24,2022-10-24,6370.0,6360.0,0.023068827447088713,0.0015698587127158659,0.0009698587127158659
2022-10-26,2022-10-26,6348.2,6500.6,0.022506404477259156,-0.024006805078605087,-0.024606805078605087
2022-10-31,2022-10-31,6203.0,6286.6,0.028702551104384133,-0.01347734966951486,-0.01407734966951486
2022-11-07,2022-11-07,6731.4,6711.8,0.012792735419803858,0.002911727129571773,0.002311727129571773
2022-11-11,2022-11-11,6800.0,6645.0,0.07350128967203373,0.022794117647058854,0.022194117647058854
2022-11-14,2022-11-14,6668.0,6592.2,0.018821472256101535,0.01136772645470907,0.01076772645470907
2022-11-16,2022-11-16,6747.8,6698.2,0.014486093508321085,0.007350543880968674,0.006750543880968674
2022-11-23,2022-11-23,6563.0,6553.4,0.013596567147419858,0.0014627456955661478,0.0008627456955661478
2022-12-01,2022-12-01,6656.0,6662.0,0.04408471681509485,-0.0009014423076922906,-0.0015014423076922905
2022-12-09,2022-12-09,6666.0,6684.8,0.011265099700154657,-0.0028202820282028362,-0.003420282028202836
2022-12-13,2022-12-13,6659.8,6604.8,0.012642066277416708,0.008258506261449305,0.007658506261449306
2022-12-14,2022-12-14,6615.0,6573.6,0.010146971954644535,0.006258503401360471,0.005658503401360471
2022-12-22,2022-12-22,6327.8,6206.0,0.0153840971239112,0.019248395967002785,0.018648395967002785
2022-12-30,2022-12-30,6290.2,6285.8,0.025926890283257675,0.0006995008107849587,9.950081078495879e-05
2023-01-09,2023-01-09,6518.2,6518.2,0.025623146016223286,-0.0,-0.0006
2023-01-11,2023-01-11,6539.0,6494.4,0.010058671170563471,0.006820614772901079,0.006220614772901079
2023-01-12,2023-01-12,6500.0,6492.0,0.01759727382956755,0.0012307692307692575,0.0006307692307692575
2023-02-01,2023-02-01,6831.0,6922.6,0.016740425254421876,-0.013409456887717885,-0.014009456887717885
2023-02-02,2023-02-02,6932.6,6928.0,0.02000660051431602,0.000663531719701127,6.353171970112706e-05
2023-02-03,2023-02-03,6910.0,6920.0,0.03253966740726111,-0.0014471780028944004,-0.0020471780028944
2023-02-08,2023-02-08,6905.8,6865.8,0.01903990310722814,0.0057922326160618764,0.005192232616061877
2023-02-14,2023-02-14,7050.6,7055.6,0.0148205512930355,-0.0007091595041557319,-0.0013091595041557318
2023-03-06,2023-03-06,6949.0,6956.4,0.019717776040358848,-0.00106490142466531,-0.0016649014246653097
2023-03-15,2023-03-15,6800.0,6807.2,0.021387877573898928,-0.0010588235294117787,-0.0016588235294117785
2023-03-17,2023-03-17,6742.4,6748.4,0.024770274348416166,-0.0008898908400569727,-0.0014898908400569726
2023-03-22,2023-03-22,6811.0,6825.6,0.01580837631800458,-0.002143591249449406,-0.0027435912494494057
2023-03-24,2023-03-24,6854.8,6857.0,0.010063645397946352,-0.0003209429888544335,-0.0009209429888544335
2023-03-30,2023-03-30,6805.0,6821.6,0.01793741577441077,-0.0024393828067597045,-0.0030393828067597044
2023-04-03,2023-04-03,6885.0,6940.0,0.017350063762167967,-0.007988380537400142,-0.008588380537400141
2023-04-14,2023-04-14,6978.2,7004.2,0.01986150630048855,-0.00372588919778738,-0.00432588919778738
2023-04-28,2023-04-28,6650.0,6738.4,0.024285404550123735,-0.01329323308270669,-0.01389323308270669
2023-05-08,2023-05-08,6660.0,6687.8,0.022480841018965192,-0.0041741741741740945,-0.004774174174174094
2023-05-11,2023-05-11,6631.4,6615.6,0.01041817405987322,0.002382603975027764,0.001782603975027764
2023-05-18,2023-05-18,6565.0,6578.6,0.012761324433136378,-0.002071591774562176,-0.0026715917745621758
2023-05-19,2023-05-19,6546.0,6590.6,0.015061037554266354,-0.006813321112129511,-0.007413321112129511
2023-05-26,2023-05-26,6470.0,6535.8,0.01713624817479742,-0.010170015455950532,-0.010770015455950532
2023-05-29,2023-05-29,6553.0,6525.4,0.021861052877086173,0.004211811384098985,0.0036118113840989848
2023-05-30,2023-05-30,6520.0,6558.0,0.021861052877086173,-0.005828220858895783,-0.006428220858895783
2023-06-02,2023-06-02,6588.8,6612.4,0.012809628658206895,-0.003581835842642045,-0.004181835842642045
2023-06-05,2023-06-05,6620.4,6611.8,0.01066975028298267,0.0012990151652467752,0.0006990151652467752
