n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days,sample_start
208,36.277340957827015,0.5288461538461539,18.661424495262683,15.288718038068312,241.604511394762,1254.8599779492836,-757.953125,38.83734716792158,-26.992370192521932,0.46521903481037913,1.1139646772726286,multi_day_h5_SPX_IF_thr0.005,multi_day,SPX,IF,0.005,5,2022-07-22
194,33.83559685489635,0.5618556701030928,16.969980154414273,15.397865697226905,114.07612535018838,601.359482410027,-233.01812191103787,37.23598756042752,-9.65024899965783,0.8653135284151237,2.0719889628193844,fade_short_NDX_IC_thr0.010,fade_short,NDX,IC,0.01,1,2022-07-22
194,33.83559685489635,0.5309278350515464,17.10071166439062,7.808804304064616,135.05718679616172,713.3359975407332,-309.63530488312085,36.909896125327755,-10.687757297212986,0.7365180693122807,1.7635888731881477,fade_short_NDX_IM_thr0.010,fade_short,NDX,IM,0.01,1,2022-07-22
208,36.277340957827015,0.5336538461538461,21.56257544040589,19.30196450548139,238.99875467468087,1271.5924024640663,-722.5729121592391,47.63087430654913,-24.611798460034006,0.5434038577589738,1.301177849018811,multi_day_h5_SPX_IH_thr0.005,multi_day,SPX,IH,0.005,5,2022-07-22
