run_date_bj,rank,strategy,futures,underlying,us_signal,us_date,us_close,us_ret_pct,threshold_pct,triggered,action,n_contracts_suggested,margin_per_contract_cny,notes
2026-06-08,1,IH_fade_short,IH,上证50,NDX,2026-06-05,25709.4316,-4.18,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-06-08,2,IF_fade_short,IF,沪深300,NDX,2026-06-05,25709.4316,-4.18,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-06-08,3,IC_fade_short,IC,中证500,SPX,2026-06-05,7383.7402,-2.645,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-06-08,4,IM_fade_short,IM,中证1000,NDX,2026-06-05,25709.4316,-4.18,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-06-09,1,IH_fade_short,IH,上证50,NDX,2026-06-08,25929.6621,0.857,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-06-09,2,IF_fade_short,IF,沪深300,NDX,2026-06-08,25929.6621,0.857,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-06-09,3,IC_fade_short,IC,中证500,SPX,2026-06-08,7405.73,0.298,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-06-09,4,IM_fade_short,IM,中证1000,NDX,2026-06-08,25929.6621,0.857,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-06-10,1,IH_fade_short,IH,上证50,NDX,2026-06-09,25678.8223,-0.967,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-06-10,2,IF_fade_short,IF,沪深300,NDX,2026-06-09,25678.8223,-0.967,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-06-10,3,IC_fade_short,IC,中证500,SPX,2026-06-09,7386.6499,-0.258,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-06-10,4,IM_fade_short,IM,中证1000,NDX,2026-06-09,25678.8223,-0.967,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
